Id_micro,Asignatura,Macro adquirido,Microcompetencia,Macro ref,MacroCompetencias (MC),RA padre (from MacroCompetencias (MC)),CursosActual,Tipologia,Id_asignatura,Fecha creacion,CursosNuevos,auto_number
neo_uC12,Análisis numérico,6.3,"Diseña soluciones computacionales que reducen el consumo de energía o las adapta para tener en cuenta restricciones culturales, sociales o ambientales.",MC6,MC6,"RA2,RA7",PA2-ANÁ,Algoritmos y procesamiento de señales,PA2-ANÁ,01/02/2023 11:17,,12
neo_uC13,Análisis numérico,7.1,Presenta a sus compañeros los resultados de sus análisis matemáticos.,MC7,MC7,"RA3,RA1,RA6",PA2-ANÁ,Algoritmos y procesamiento de señales,PA2-ANÁ,08/02/2023 10:54,,13
neo_uC14,Análisis numérico,7.2,Realiza presentaciones orales o escritas de los resultados de aplicar los métodos matemáticos para resolver problemas de ingeniería.,MC7,MC7,"RA3,RA1,RA6",PA2-ANÁ,Algoritmos y procesamiento de señales,PA2-ANÁ,08/02/2023 10:54,,14
neo_uC15,Análisis numérico,7.3,Discute las soluciones planteadas por el mismo o por sus compañeros a problemas de ingeniería.,MC7,MC7,"RA3,RA1,RA6",PA2-ANÁ,Algoritmos y procesamiento de señales,PA2-ANÁ,08/02/2023 10:54,,15
neo_uC16,Análisis numérico,8.1,"Desempeña labores de análisis, diseño o programación dentro de un trabajo en grupo para la solución de un problema de análisis numérico. ",MC8,MC8,"RA4,RA5",PA2-ANÁ,Algoritmos y procesamiento de señales,PA2-ANÁ,15/02/2023 9:38,,16
neo_uC17,Análisis numérico,9.1,Determina que las soluciones computacionales tienen limites que deben ser conocidos por los usuarios al momento de su utilización.,MC9,MC9,"RA4,RA7",PA2-ANÁ,Algoritmos y procesamiento de señales,PA2-ANÁ,01/02/2023 11:17,,17
neo_uC18,Análisis numérico,9.2,Reconoce que debe darse el respectivo crédito a los desarrolladores de las soluciones computacionales y sus respectivos métodos matemáticos.,MC9,MC9,"RA4,RA7",PA2-ANÁ,Algoritmos y procesamiento de señales,PA2-ANÁ,01/02/2023 11:17,,18
neo_uC19,Análisis numérico,10.1,Calcula el costo computacional y su respectiva relación con el costo económico de un algoritmo computacional.,MC10,MC10,"RA4,RA6",PA2-ANÁ,Algoritmos y procesamiento de señales,PA2-ANÁ,08/02/2023 10:54,,19
neo_uC20,Análisis numérico,10.2,Determina los límites de precisión de un algoritmo computacional y su respectivo impacto económico.,MC10,MC10,"RA4,RA6",PA2-ANÁ,Algoritmos y procesamiento de señales,PA2-ANÁ,08/02/2023 10:54,,20
neo_uC21,Análisis numérico,10.3,Evalúa la solución matemática más apropiada para disminuir el consumo de recursos computacionales y energéticos.,MC10,MC10,"RA4,RA6",PA2-ANÁ,Algoritmos y procesamiento de señales,PA2-ANÁ,08/02/2023 10:54,,21
neo_uC22,Análisis numérico,11.1,Realiza la solución de problemas que requieran análisis numérico mediante trabajo en equipo donde divide las tareas de acuerdo con el método numérico utilizado.,MC11,MC11,"RA5,RA7,RA3",PA2-ANÁ,Algoritmos y procesamiento de señales,PA2-ANÁ,15/02/2023 9:38,,22
neo_uC23,Análisis numérico,12.1,Desarrolla algoritmos computacionales de forma colaborativa mediante herramientas de comunicación en línea.,MC12,MC12,"RA5,RA7,RA3",PA2-ANÁ,Algoritmos y procesamiento de señales,PA2-ANÁ,01/02/2023 11:17,,23
neo_uC24,Análisis numérico,12.2,Utiliza herramientas de comunicación colaborativa para el desarrollo de proyectos de aplicación de los métodos computacionales vistos en clase.,MC12,MC12,"RA5,RA7,RA3",PA2-ANÁ,Algoritmos y procesamiento de señales,PA2-ANÁ,01/02/2023 11:17,,24
neo_uC25,Análisis numérico,12.3,Utiliza herramientas tecnológicas para la presentación de resultados de proyectos de clase.,MC12,MC12,"RA5,RA7,RA3",PA2-ANÁ,Algoritmos y procesamiento de señales,PA2-ANÁ,01/02/2023 11:17,,25
neo_uC26,Análisis numérico,14.1,Determina las restricciones de un algoritmo computacional para solucionar un problema determinado.,MC14,MC14,"RA6,RA3,RA4",PA2-ANÁ,Algoritmos y procesamiento de señales,PA2-ANÁ,15/02/2023 9:38,,26
neo_uC27,Análisis numérico,14.2,Analiza los resultados de diversos algoritmos computacionales para seleccionar el más adecuado para solucionar un problema determinado.,MC14,MC14,"RA6,RA3,RA4",PA2-ANÁ,Algoritmos y procesamiento de señales,PA2-ANÁ,15/02/2023 9:38,,27
neo_uC28,Análisis numérico,15.1,Determina la complejidad computacional de un algoritmo computacional y su relación con el desempeño del mismo.,MC15,MC15,"RA6,RA4",PA2-ANÁ,Algoritmos y procesamiento de señales,PA2-ANÁ,01/02/2023 11:17,,28
neo_uC29,Análisis numérico,15.2,Selecciona el algoritmo computacional más eficiente para solucionar un problema de ingeniería.,MC15,MC15,"RA6,RA4",PA2-ANÁ,Algoritmos y procesamiento de señales,PA2-ANÁ,01/02/2023 11:17,,29
neo_uC30,Análisis numérico,15.3,Determina los requerimientos computacionales para implementar un algoritmo determinado.,MC15,MC15,"RA6,RA4",PA2-ANÁ,Algoritmos y procesamiento de señales,PA2-ANÁ,01/02/2023 11:17,,30
neo_uC31,Análisis numérico,16.1,Comprende métodos matemáticos nuevos para ser utilizados dentro de su carrera profesional.,MC16,MC16,"RA7,RA3",PA2-ANÁ,Algoritmos y procesamiento de señales,PA2-ANÁ,08/02/2023 10:54,,31
neo_uC32,Análisis numérico,17.1,Reconoce nuevos algoritmos computacionales para solución de problemas de ingeniería que involucren el análisis numérico. ,MC17,MC17,"RA7,RA4,RA5",PA2-ANÁ,Algoritmos y procesamiento de señales,PA2-ANÁ,15/02/2023 9:38,,32
neo_uC33,Arquitectura de computadores,1.1,Define los requerimientos funcionales de las organizaciones para abordar soluciones desde la arquitectura de computadores,MC1,MC1,"RA1,RA3",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,08/02/2023 9:55,,33
neo_uC34,Arquitectura de computadores,1.1,Analizar los diferentes componentes y elementos arquitecturales de un sistema computacional confrontado con el estado del arte tecnológico para proponer una solución Ade acuerdo a requerimientos funcionales y el estado del arte tecnológico para proponer una solución optimizada para la organización.,MC1,MC1,"RA1,RA3",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,01/02/2023 11:07,,34
neo_uC35,Arquitectura de computadores,1.2,"Relaciona problemas, requerimientos, características y atributos de elementos, componentes y funciones arquitecturales de sistemas computacionales para aplicar principios de ingeniería en soluciones optimizadas o no. ",MC1,MC1,"RA1,RA3",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,08/02/2023 9:55,,35
neo_uC36,Arquitectura de computadores,1.2,"Evaluar arquitecturas computacionales que soporten requerimientos funcionales dados por las organizaciones, observando el estado del arte, para confrontar idoneidad, sostenibilidad y desarrollo.",MC1,MC1,"RA1,RA3",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,01/02/2023 11:07,,36
neo_uC37,Arquitectura de computadores,1.3,"Identifica requerimientos funcionales, características, atributos, componentes, patrones, funciones y medidas de desempeño para abordar problemas con soluciones optimizadas",MC1,MC1,"RA1,RA3",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,08/02/2023 9:55,,37
neo_uC38,Arquitectura de computadores,2.1,"Diseña a partir de fundamentos teóricos, variables y procesos relacionados con arquitectura para describir un problema.",MC2,MC2,"RA1,RA3,RA7",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,08/02/2023 11:14,,38
neo_uC39,Arquitectura de computadores,2.2,Produce modelos que formulen un problema usando elementos y procesos de arquitectura de sistemas computacionales.,MC2,MC2,"RA1,RA3,RA7",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,08/02/2023 11:14,,39
neo_uC40,Arquitectura de computadores,2.3,"Describe claramente los elementos, componentes y procesos relacionados con arquitecturas de sistemas computacionales ",MC2,MC2,"RA1,RA3,RA7",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,08/02/2023 11:14,,40
neo_uC41,Arquitectura de computadores,3.1,Diseña y construye un prototipo (o prueba de concepto funcional) a partir de principios de ingeniería y ciencias usando un lenguaje (como la representación matemática) de acuerdo a situaciones organizaciones a ser tratados.,MC3,MC3,"RA1,RA2,RA6",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,15/02/2023 10:35,,41
neo_uC42,Arquitectura de computadores,3.2,"Organiza los elementos, componentes y relaciones entre ellos para proponer un modelo de acuerdo a requerimientos usando representación matemática y principios de ingeniería.",MC3,MC3,"RA1,RA2,RA6",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,15/02/2023 10:35,,42
neo_uC43,Arquitectura de computadores,3.3,"Describe los elementos, componentes, variables, funciones y relaciones de un modelo para tratar problemas de acuerdo a requerimientos.",MC3,MC3,"RA1,RA2,RA6",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,15/02/2023 10:35,,43
neo_uC44,Arquitectura de computadores,4.1,Diferencia paradigmas y tendencias de diseño y arquitectura  de acuerdo a requerimientos para el tratamiento de problemas específicos en una organización ,MC4,MC4,"RA2,RA1",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,08/02/2023 9:55,,44
neo_uC45,Arquitectura de computadores,4.1,"Evalua, de acuerdo al estado del arte, requerimientos funcionales y modelos (entendiendo el modelo como un paradigma de diseño), el tratamiento adecuado de un problema con elementos, componentes y organización arquitectural computacional.",MC4,MC4,"RA2,RA1",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,01/02/2023 11:07,,45
neo_uC46,Arquitectura de computadores,4.2,"Identifica elementos, componentes y organización (de arquitectura computacional), de acuerdo a los requerimientos funcionales dados por una organización para un problema especifico buscando idoneidad y pertinencia tecnológica.",MC4,MC4,"RA2,RA1",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,01/02/2023 11:07,,46
neo_uC47,Arquitectura de computadores,4.2,"Organiza elementos, componentes, relaciones, funciones e interacciones de diseño arquitectural para suplir requerimientos funcionales en una organizacion",MC4,MC4,"RA2,RA1",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,08/02/2023 9:55,,47
neo_uC48,Arquitectura de computadores,4.3,"Comprende la terminología y simnbología técnica y especifica (glosario técnico y vocabulario) para clasificar, contrastar, interpretar, describir e ilustrar tanto diseño como organización de arquitecturas computacionales y sus elementos, componentes y relación entre ellos.",MC4,MC4,"RA2,RA1",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,01/02/2023 11:07,,48
neo_uC49,Arquitectura de computadores,4.3,Estructura paradigmas y tendencias de diseño en arquitectura de computadores de acuerdo a objetivos específicos funcionales en una organización.,MC4,MC4,"RA2,RA1",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,08/02/2023 9:55,,49
neo_uC50,Arquitectura de computadores,5.1,Crea usando fundamentos y patrones de arquitectura de computadores soluciones de ingeniería ,MC5,MC5,"RA2,RA7",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,08/02/2023 11:14,,50
neo_uC51,Arquitectura de computadores,5.2,"Construye soluciones a partir del diseño, usando elementos de arquitectura de computadores ",MC5,MC5,"RA2,RA7",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,08/02/2023 11:14,,51
neo_uC52,Arquitectura de computadores,6.1,"Justifica a partir parametros y patrones, el impacto a medir de una solución propuesta.",MC6,MC6,"RA2,RA7",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,15/02/2023 10:35,,52
neo_uC53,Arquitectura de computadores,6.2,"Analiza tanto variables, como efectos (de acuerdo a factores a analizar), el impacto del tratamiento de un problema en un contexto especifico.",MC6,MC6,"RA2,RA7",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,15/02/2023 10:35,,53
neo_uC54,Arquitectura de computadores,6.3,"Identifica tanto factores, como atributos y descriptores de elementos, componentes, funciones y relaciones de una alternativa de solucion propuesta para medir su impacto.",MC6,MC6,"RA2,RA7",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,15/02/2023 10:35,,54
neo_uC55,Arquitectura de computadores,7.1,"Reconoce elementos, componentes y relaciones, tanto primarias como secundarias (o derivadas), así como sistemas completos de arquitecturas computacionales de acuerdo al estado del arte y objetivos de solución o tratamiento de problemas en ingeniería de sistemas y computación.",MC7,MC7,"RA3,RA1,RA6",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,01/02/2023 11:07,,55
neo_uC56,Arquitectura de computadores,7.2,"Explica claramente, de acuerdo al público objetivo tanto conceptos como el estado del arte y propuestas de solución en arquitectura de computadores.",MC7,MC7,"RA3,RA1,RA6",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,01/02/2023 11:07,,56
neo_uC57,Arquitectura de computadores,7.2,"Explica, de acuerdo al público objetivo, en un lenguaje adecuado (y glosario técnico  y concreto) los conceptos, descripciones y propuestas de solución de proyectos de ingeniería de sistemas.",MC7,MC7,"RA3,RA1,RA6",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,08/02/2023 9:55,,57
neo_uC58,Arquitectura de computadores,7.3,Transfiere de diferentes maneras (divulga) conocimiento asociado con arquitectura de computadores y diseño y organización de sistemas computacionales.,MC7,MC7,"RA3,RA1,RA6",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,01/02/2023 11:07,,58
neo_uC59,Arquitectura de computadores,7.3,"Reproduce de acuerdo a la audiencia, conceptos y definiciones de problemas y propuestas de proyectos de ingeniería de sistemas desde la arquitectura de computadores",MC7,MC7,"RA3,RA1,RA6",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,08/02/2023 9:55,,59
neo_uC60,Arquitectura de computadores,8.1,Cumple obligaciones en su contexto de trabajo ,MC8,MC8,"RA4,RA5",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,08/02/2023 11:14,,60
neo_uC61,Arquitectura de computadores,8.2,"Observa requerimientos, contratos y entregables de acuerdo al entorno de trabajo y roles ",MC8,MC8,"RA4,RA5",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,08/02/2023 11:14,,61
neo_uC62,Arquitectura de computadores,8.3,Realiza tareas que lleven a la ejecución de actividades y cumplimento de objetivos y requerimientos ,MC8,MC8,"RA4,RA5",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,08/02/2023 11:14,,62
neo_uC63,Arquitectura de computadores,9.1,"Interpreta de acuerdo al contexto social, temporal y profesional, asumiendo una posición responsable, principios y cÓdigos éticos establecidos para su rol en la profesión.",MC9,MC9,"RA4,RA7",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,15/02/2023 10:35,,63
neo_uC64,Arquitectura de computadores,9.2,"Explica claramente los deberes, principos, cÓdigos, normas y reglas éticas de acuerdo a su rol en su profesión.",MC9,MC9,"RA4,RA7",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,15/02/2023 10:35,,64
neo_uC65,Arquitectura de computadores,9.3,"Cuestiona, sin embargo, profesional y responsablemente, los deberes, principios y códigos establecidos de acuerdo a principios éticos en su profesión.",MC9,MC9,"RA4,RA7",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,15/02/2023 10:35,,65
neo_uC66,Arquitectura de computadores,10.1,"Recomienda de acuerdo a los requerimientos funcionales, acciones en la ejecución de proyectos de ingeniería de sistemas e informática considerando aspectos arquitecturales de sistemas computacionales",MC10,MC10,"RA4,RA6",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,08/02/2023 9:55,,66
neo_uC67,Arquitectura de computadores,10.1,"Evalua la organización y diseño de arquitecturas computacionales y sus elementos, componentes y relaciones de acuerdo a realidades economicas, sociales y ambientales, teniendo en cuenta tanto patrones de rendimiento (performance) como de sostenibilidad.",MC10,MC10,"RA4,RA6",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,01/02/2023 11:07,,67
neo_uC68,Arquitectura de computadores,10.2,"Provee elementos que permiten medir el impacto económico, social y ambiental en proyectos de ingeniería de sistemas e informatico para apoyar la toma de decisiones.",MC10,MC10,"RA4,RA6",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,08/02/2023 9:55,,68
neo_uC69,Arquitectura de computadores,10.2,"Analiza diferentes variables y la relación con el entorno de sistemas computacionales en términos de arquitectura computacional de acuerdo a efectos y realidades económicas, sociales y ambientales.",MC10,MC10,"RA4,RA6",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,01/02/2023 11:07,,69
neo_uC70,Arquitectura de computadores,10.3,"Organiza información relacionados con elementos, componentes, funcionalidades y relaciones de arquitectura de computadores que permitan medir el impacto económico, social y ambiental de proyectos de ingeniería de sistemas en ejecución para apoyar la toma de decisiones.",MC10,MC10,"RA4,RA6",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,08/02/2023 9:55,,70
neo_uC71,Arquitectura de computadores,10.3,"Comprende el impacto social, económico y ambiental del desarrollo de organización y diseño de arquitecturas computacionales. ",MC10,MC10,"RA4,RA6",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,01/02/2023 11:07,,71
neo_uC72,Arquitectura de computadores,11.1,Interactúa con sus pares y otros actores de acuerdo a su rol en proyectos de ingeniería que involucren arquitectura de sistemas computacionales ,MC11,MC11,"RA5,RA7,RA3",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,08/02/2023 11:14,,72
neo_uC73,Arquitectura de computadores,11.2,Participa activamente de acuerdo a sus competencias y rol en proyectos de ingeniería ,MC11,MC11,"RA5,RA7,RA3",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,08/02/2023 11:14,,73
neo_uC74,Arquitectura de computadores,12.1,Emplea herramientas de trabajo colaborativo para las diferentes etapas del ciclo de vida de un proyecto de ingenieria.,MC12,MC12,"RA5,RA7,RA3",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,15/02/2023 10:35,,74
neo_uC75,Arquitectura de computadores,12.2,Implementa herramientas y plataformas colaborativas para soportar las diferentes etapas de un proyecto de ingenieria,MC12,MC12,"RA5,RA7,RA3",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,15/02/2023 10:35,,75
neo_uC76,Arquitectura de computadores,12.3,"Ejecuta tareas y trabajos enmarcados en un proyecto de ingenieria de manera colaborativa, usando herramientas y plataformas para tal fin.",MC12,MC12,"RA5,RA7,RA3",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,15/02/2023 10:35,,76
neo_uC77,Arquitectura de computadores,13.1,"Usa técnicas y mécanismos matemáticos para la repreentación, análisis, evaluación y presentación de rendimiento computacional para la toma de decisiones.",MC13,MC13,"RA6,RA3",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,01/02/2023 11:07,,77
neo_uC78,Arquitectura de computadores,13.1,"Identifica las herramientas y técnicas matemáticas que le permiten aprovecharse de la estadística y la tecnología computacional para la representación, análisis e interpretación de datos para aportar tanto lineamientos como apoyar la toma de decisiones",MC13,MC13,"RA6,RA3",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,08/02/2023 9:55,,78
neo_uC79,Arquitectura de computadores,13.2,Emplea métricas y herramientas para presentar y analizar técnicas de evaluación de rendimiento de sistemas computacionales para soportar tanto recomendaciones como la toma de decisiones.,MC13,MC13,"RA6,RA3",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,01/02/2023 11:07,,79
neo_uC80,Arquitectura de computadores,13.3,"Implementa métodos numéricos asociados con estadística utilizando técnicas computaiconales para para la representación, análisis e interpretación de datos brindando lineamientos y soporte para la toma de decisiones",MC13,MC13,"RA6,RA3",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,08/02/2023 9:55,,80
neo_uC81,Arquitectura de computadores,13.3,Reproduce pruebas de rendimiento realizadas por terceros o recomendaciones teóricas dadas por los arquitectos de solución para verificar y confrontar tanto lineamientos como soluciones propuestas.,MC13,MC13,"RA6,RA3",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,01/02/2023 11:07,,81
neo_uC82,Arquitectura de computadores,14.1,"Crea a partir de la información, soluciones teniendo en cuenta requerimientos funcionales y desempeño computacional (análisis de rendimiento)",MC14,MC14,"RA6,RA3,RA4",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,08/02/2023 11:14,,82
neo_uC83,Arquitectura de computadores,14.2,"Justifica a partir de datos, la proposición de soluciones arquitecturales en proyectos de ingeniería ",MC14,MC14,"RA6,RA3,RA4",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,08/02/2023 11:14,,83
neo_uC84,Arquitectura de computadores,14.3,Implementa soluciones de acuerdo a la información analizada teniendo en cuenta limitaciones y alcances de desempeño arquitectural.,MC14,MC14,"RA6,RA3,RA4",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,08/02/2023 11:14,,84
neo_uC85,Arquitectura de computadores,15.1,"Evalua con técnicas y herramientas de analisis de desempeño de sistemas computacionales soluciones computaiconales de acuerdo a requerimientos funcionales, de tal manera que permite la reproductibilidad y la validación o confrontación de la solución.",MC15,MC15,"RA6,RA4",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,15/02/2023 10:35,,85
neo_uC86,Arquitectura de computadores,15.2,"Demuestra, fundamentado en principios de ciencia e ingenieria, con el apoyo de evidencias, el rendimiento computacional de una solución dada.",MC15,MC15,"RA6,RA4",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,15/02/2023 10:35,,86
neo_uC87,Arquitectura de computadores,15.3,"Organiza los diferentes elementos, componentes, funciones asociadas y relaciones para proponer técnicas y metodologias de evaluacion de rendimiento computaiconal que permitan medir e interpetar una solucion riguramente.",MC15,MC15,"RA6,RA4",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,15/02/2023 10:35,,87
neo_uC88,Arquitectura de computadores,16.1,Adquiere continuamente (auto-aprende) conocimientos técnicos y científicos en arquitectura de sistemas computaciones.,MC16,MC16,"RA7,RA3",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,01/02/2023 11:07,,88
neo_uC89,Arquitectura de computadores,16.1,Reconoce tanto fundamentos técnicos y científicos como tendencias de desarrollo en arquitectura de computadores para su auto formación continua.,MC16,MC16,"RA7,RA3",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,08/02/2023 9:55,,89
neo_uC90,Arquitectura de computadores,16.2,"Reconoce fundamentos y cambios tecnológico, científicos y metodológicos en arquitectura de sistemas computacionales que impactan en el estado del arte. ",MC16,MC16,"RA7,RA3",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,01/02/2023 11:07,,90
neo_uC91,Arquitectura de computadores,16.2,Revisa el estado del arte continuamente y lo confronta para entender tanto tendencias como líneas posible de desarrollo en su actuar profesional,MC16,MC16,"RA7,RA3",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,08/02/2023 9:55,,91
neo_uC92,Arquitectura de computadores,16.3,"Confronta el conocimiento adquirido con conocimiento generado, permitiendo la identificación tanto de tendencias como de propuestas novedosas.",MC16,MC16,"RA7,RA3",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,01/02/2023 11:07,,92
neo_uC93,Arquitectura de computadores,16.3,Construye un marco de referencia tecnológico y científico que le permite observar tendencias y soportar la toma de decisiones en arquitectura de computadores,MC16,MC16,"RA7,RA3",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,08/02/2023 9:55,,93
neo_uC94,Arquitectura de computadores,17.1,Reconoce aspectos y habilidades necesarias para el autoaprendizaje,MC17,MC17,"RA7,RA4,RA5",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,08/02/2023 11:14,,94
neo_uC95,Arquitectura de computadores,17.2,Define elementos y atributos necesarios para mejorar su auto aprendizaje ,MC17,MC17,"RA7,RA4,RA5",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,08/02/2023 11:14,,95
neo_uC96,Arquitectura de computadores,17.3,Recupera continuamente información y la confronta tanto con el contexto como con las tendencias para ubicarse en el entorno y aprender ,MC17,MC17,"RA7,RA4,RA5",PA3-ARQ,Arquitectura e Infraestructura,PA3-ARQ,08/02/2023 11:14,,96
neo_uC97,Autómatas y lenguajes formales,1.1,Identifica los problemas que pueden ser abordados mediante la aplicación de la teoría de autómatas y lenguajes formales,MC1,MC1,"RA1,RA3",PA4-AUT,Algoritmos y procesamiento de señales,PA4-AUT,28/02/2023 19:08,,97
neo_uC98,Autómatas y lenguajes formales,1.2,Reconoce las aplicaciones prácticas de la teoría de autómatas y lenguajes formales en la informática y otras áreas de la ingeniería,MC1,MC1,"RA1,RA3",PA4-AUT,Algoritmos y procesamiento de señales,PA4-AUT,28/02/2023 19:08,,98
